Snapshot,start_date,end_date,name,TTT,LOS,score,reviews,price_per_night,original_price,discount_perc,Free_cancellation,No_payment,Breakfast,Option Member,Index,star_rating,location_rating,neighborhood,km_from_center,neighborhood_category
52:56.7,16/07/2024,17/07/2024,Nap York Central Park Sleep Station,26,1,8.48,0.0,0.0,0.0,10.0,1,0,0,1,208,1.0,9.5,Manhattan,0.0,Other Manhattan
55:35.6,17/07/2024,18/07/2024,Nap York Central Park Sleep Station,27,1,8.48,0.0,0.0,0.0,10.0,1,0,0,1,217,1.0,9.5,Manhattan,0.0,Other Manhattan
47:05.7,21/06/2024,22/06/2024,Hotel St. James,1,1,8.68,1.1374733316148449,1.6264841503326095,1.7510270561674788,7.917888563049853,0,0,0,1,91,2.0,9.7,Manhattan,-0.6856308649777909,Other Manhattan
47:06.4,21/06/2024,22/06/2024,Doxie Hotel,1,1,8.787778736517721,-0.9000555415836516,-0.023208479599118703,-0.8298818057110556,0.0,0,0,0,0,140,2.0,9.322012578616352,Manhattan,0.014526077647835135,Other Manhattan
47:38.0,21/06/2024,23/06/2024,Hotel St. James,1,2,8.68,1.1374733316148449,2.270649843924999,-0.8298818057110556,0.0,0,0,0,1,118,2.0,9.7,Manhattan,-0.6856308649777909,Other Manhattan
47:38.1,21/06/2024,23/06/2024,Doxie Hotel,1,2,8.787778736517721,-0.9000555415836516,0.43242091342964434,1.1303979456864235,8.108108108108109,0,0,0,0,129,2.0,9.322012578616352,Manhattan,0.014526077647835135,Other Manhattan
48:08.4,21/06/2024,24/06/2024,Hotel St. James,1,3,8.68,1.1374733316148449,1.5636387168114008,-0.8298818057110556,0.0,0,0,0,1,65,2.0,9.7,Manhattan,-0.6856308649777909,Other Manhattan
48:08.9,21/06/2024,24/06/2024,31 Street Broadway Hotel,1,3,8.787778736517721,-0.8490169629980433,-2.427046311785351,-0.8298818057110556,0.0,0,0,0,1,112,2.0,9.322012578616352,NoMad,0.9947457973237115,Downtown Manhattan
48:09.4,21/06/2024,24/06/2024,Doxie Hotel,1,3,8.787778736517721,-0.9000555415836516,0.49526634695085303,-0.8298818057110556,0.0,0,0,0,0,154,2.0,9.322012578616352,Manhattan,0.014526077647835135,Other Manhattan
48:38.6,21/06/2024,25/06/2024,31 Street Broadway Hotel,1,4,8.787778736517721,-0.8490169629980433,-2.458469028545956,-0.8298818057110556,0.0,0,0,0,1,13,2.0,9.322012578616352,NoMad,0.9947457973237115,Downtown Manhattan
48:39.2,21/06/2024,25/06/2024,Doxie Hotel,1,4,8.787778736517721,-0.9000555415836516,0.5738231388523639,-0.8298818057110556,0.0,0,0,0,0,59,2.0,9.322012578616352,Manhattan,0.014526077647835135,Other Manhattan
49:41.4,22/06/2024,23/06/2024,Hotel St. James,2,1,8.68,1.1374733316148449,2.270649843924999,-0.8298818057110556,0.0,0,0,0,1,44,2.0,9.7,Manhattan,-0.6856308649777909,Other Manhattan
49:42.7,22/06/2024,23/06/2024,Doxie Hotel,2,1,8.787778736517721,-0.9000555415836516,1.5479273584310986,-0.8298818057110556,0.0,1,0,0,0,149,2.0,9.322012578616352,Manhattan,0.014526077647835135,Other Manhattan
49:43.8,22/06/2024,23/06/2024,31 Street Broadway Hotel,2,1,8.787778736517721,-0.8490169629980433,-2.0656850690384014,-0.8298818057110556,0.0,0,0,0,1,244,2.0,9.322012578616352,NoMad,0.9947457973237115,Downtown Manhattan
