Snapshot,start_date,end_date,name,TTT,LOS,score,reviews,price_per_night,original_price,discount_perc,Free_cancellation,No_payment,Breakfast,Option Member,Index,star_rating,location_rating,neighborhood,km_from_center,neighborhood_category
02:46.3,28/06/2024,30/06/2024,Hotel St. James,3,2,8.68,0.6454507089401917,1.916675553897059,1.4145775787588677,6.9364161849710975,0,0,0,1,146,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
03:30.0,28/06/2024,01/07/2024,Hotel St. James,3,3,8.68,0.6454507089401917,0.9980845050247358,0.9726198769633634,7.534246575342466,0,0,0,1,79,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
04:19.4,28/06/2024,02/07/2024,Hotel St. James,3,4,8.68,0.6454507089401917,0.6094498305018298,0.784378633606019,7.806691449814126,0,0,0,1,80,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
04:25.6,28/06/2024,02/07/2024,Doxie Hotel,3,4,8.770833048042908,-1.5601496710241656,-0.2914760058921795,-1.4172254734864005,0.0,1,0,0,0,245,2.0,9.445408500330323,Manhattan,0.94824455372798,Other Manhattan
05:07.4,28/06/2024,03/07/2024,Hotel St. James,3,5,8.68,0.6454507089401917,0.379802068283749,0.6779814090996938,8.203125,0,0,0,1,78,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
05:13.3,28/06/2024,03/07/2024,Doxie Hotel,3,5,8.770833048042908,-1.5601496710241656,-0.43279770571869075,-1.4172254734864005,0.0,1,0,0,0,233,2.0,9.445408500330323,Manhattan,0.94824455372798,Other Manhattan
05:58.7,29/06/2024,30/06/2024,Hotel St. James,4,1,8.68,0.6454507089401917,2.5879536280729876,1.856535280554372,10.0,0,0,0,1,177,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
06:42.6,29/06/2024,01/07/2024,Hotel St. James,4,2,8.68,0.6454507089401917,0.8567628051982245,0.9726198769633634,10.273972602739724,0,0,0,1,72,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
06:48.4,29/06/2024,01/07/2024,Doxie Hotel,4,2,8.770833048042908,-1.5601496710241656,-0.07949345615241259,-1.4172254734864005,0.0,1,0,0,0,226,2.0,9.445408500330323,Manhattan,0.94824455372798,Other Manhattan
07:32.0,29/06/2024,02/07/2024,Hotel St. James,4,3,8.68,0.6454507089401917,0.379802068283749,0.7270878204103054,10.30534351145038,0,0,0,1,71,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
08:21.9,29/06/2024,03/07/2024,Hotel St. James,4,4,8.68,0.6454507089401917,0.1501543060656682,0.6043217921337765,10.121457489878544,0,0,0,1,68,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
08:29.8,29/06/2024,03/07/2024,Doxie Hotel,4,4,8.770833048042908,-1.5601496710241656,-0.5211237681102603,-1.4172254734864005,0.0,1,0,0,0,247,2.0,9.445408500330323,Manhattan,0.94824455372798,Other Manhattan
09:28.9,29/06/2024,04/07/2024,Doxie Hotel,4,5,8.770833048042908,-1.5601496710241656,-0.6094498305018298,-1.4172254734864005,0.0,1,0,0,0,245,2.0,9.445408500330323,Manhattan,0.94824455372798,Other Manhattan
09:30.3,29/06/2024,04/07/2024,31 Street Broadway Hotel,4,5,8.770833048042908,-1.5048098231856397,-2.5702884155946735,-1.4172254734864005,0.0,0,0,0,1,296,2.0,9.445408500330323,NoMad,3.0773219479474068,Downtown Manhattan
