score_expedia,reviews_expedia,star_rating_expedia,location_rating_expedia,km_from_center_expedia,Free_cancellation_expedia,Breakfast_expedia,score_booking,reviews_booking,star_rating_booking,location_rating_booking,km_from_center_booking,Free_cancellation_booking,Breakfast_booking,score_diff,reviews_diff,star_rating_diff,location_rating_diff,km_diff,cancellation_diff,breakfast_diff,Index,index
8.08,4287.0,4.0,9.4,1.0,1.0,0.0,7.4,15389.0,4.0,9.4,1.0,1.0,1.0,-0.6799999999999997,11102.0,0.0,0.0,0.0,0.0,1.0,37.0,149.0
8.88,1003.0,4.0,9.5,2.0,1.0,0.0,8.3,2204.0,4.0,9.5,2.0,1.0,0.0,-0.5800000000000001,1201.0,0.0,0.0,0.0,0.0,0.0,36.0,126.0
8.88,3568.0,3.0,9.7,0.9,1.0,0.0,8.5,6007.0,3.0,9.7,0.9,1.0,0.0,-0.3800000000000008,2439.0,0.0,0.0,0.0,0.0,0.0,69.0,170.0
8.08,1000.0,4.0,9.3,0.8,1.0,0.0,7.5,1831.0,4.0,9.3,0.8,1.0,0.0,-0.5800000000000001,831.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0
8.68,228.0,3.0,9.322012578616352,5.7,1.0,0.0,7.3,200.0,3.0,9.335996215193298,5.7,1.0,0.0,-1.38,-28.0,0.0,0.004939580286320299,0.0,0.0,0.0,64.0,87.0
8.88,1530.0,3.0,9.4,2.1,0.0,0.0,8.1,11716.0,3.0,9.4,2.1,0.0,0.0,-0.7800000000000011,10186.0,0.0,0.0,0.0,0.0,0.0,153.0,79.0
8.68,1161.0,3.0,9.322012578616352,2.1,0.0,0.0,7.8,1314.0,3.0,9.335996215193298,2.1,0.0,1.0,-0.8799999999999999,153.0,0.0,0.004939580286320299,0.0,0.0,1.0,213.0,135.0
8.68,1003.0,4.0,9.3,1.4,0.0,0.0,8.4,1557.0,4.0,9.3,1.4,0.0,0.0,-0.27999999999999936,554.0,0.0,0.0,0.0,0.0,0.0,196.0,175.0
8.787778736517721,1002.0,4.0,9.322012578616352,1.0,1.0,0.0,6.8,1856.0,4.0,9.335996215193298,1.0,1.0,0.0,-1.987778736517721,854.0,0.0,0.004939580286320299,0.0,0.0,0.0,94.0,60.0
9.29,128.0,4.0,9.322012578616352,2.5,0.0,0.0,7.6,60.0,4.0,9.335996215193298,2.5,0.0,0.0,-1.6899999999999995,-68.0,0.0,0.004939580286320299,0.0,0.0,0.0,197.0,95.0
8.28,1004.0,4.0,9.322012578616352,2.5,1.0,0.0,7.9,1725.0,4.0,9.335996215193298,2.5,1.0,0.0,-0.379999999999999,721.0,0.0,0.004939580286320299,0.0,0.0,0.0,112.0,144.0
8.68,1001.0,4.0,9.306447036569988,2.5,1.0,0.0,7.9,3859.0,4.0,9.335996215193298,2.5,1.0,0.0,-0.7799999999999994,2858.0,0.0,0.004939580286320299,0.0,0.0,0.0,169.0,112.0
8.787778736517721,1626.0,4.0,9.322012578616352,7.6,1.0,0.0,7.4,4026.0,4.0,9.335996215193298,7.6,1.0,0.0,-1.3877787365177205,2400.0,0.0,0.004939580286320299,0.0,0.0,0.0,81.0,130.0
8.74974922398301,765.0,2.0,9.306447036569988,1.7,0.0,0.0,6.8,622.0,2.0,9.335996215193298,1.7,0.0,0.0,-1.9497492239830096,-143.0,0.0,0.004939580286320299,0.0,0.0,0.0,201.0,50.0
8.68,1386.0,4.0,9.306447036569988,2.2,0.0,0.0,8.0,1843.0,4.0,9.335996215193298,2.2,0.0,0.0,-0.6799999999999997,457.0,0.0,0.004939580286320299,0.0,0.0,0.0,129.0,64.0
